country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.739153,77.273668,OZONE,3.0,8.0,5.0
India,Uttar Pradesh,Ghaziabad,"Wave City, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.646675,77.489049,OZONE,2.0,7.0,4.0
India,Uttar Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.646233,77.358075,NO2,20.0,55.0,32.0
India,Uttar Pradesh,Ghaziabad,"Govindpuram, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.694528,77.494705,OZONE,4.0,13.0,8.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",11-09-2026 05:00:00,28.563262,77.186937,PM10,107.0,171.0,135.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",11-09-2026 05:00:00,28.563262,77.186937,NO2,13.0,71.0,38.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",11-09-2026 05:00:00,28.563262,77.186937,SO2,19.0,20.0,20.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",11-09-2026 05:00:00,28.563262,77.186937,CO,81.0,105.0,95.0
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM",11-09-2026 05:00:00,28.6573814,77.1585447,NH3,,,
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",11-09-2026 05:00:00,28.4706914,77.1099364,PM2.5,30.0,78.0,49.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",11-09-2026 05:00:00,28.4706914,77.1099364,NH3,,,
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",11-09-2026 05:00:00,28.4706914,77.1099364,CO,32.0,47.0,38.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",11-09-2026 05:00:00,28.4706914,77.1099364,OZONE,2.0,8.0,4.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",11-09-2026 05:00:00,28.5512005,77.2735737,PM2.5,36.0,140.0,71.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",11-09-2026 05:00:00,28.5512005,77.2735737,CO,52.0,112.0,81.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",11-09-2026 05:00:00,28.5512005,77.2735737,OZONE,21.0,28.0,24.0
