system:index,AOD,date,image_count,.geo
235,,2021-08-24,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,644.1549644378018,2021-08-25,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,1125.0879058855544,2021-08-26,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,823.3795122733833,2021-08-27,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,1449.1521266373336,2021-08-28,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,1453.039840460891,2021-08-29,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,575.8888888888889,2021-08-30,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,,2021-08-31,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,,2021-09-01,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,546.9429643871902,2021-09-02,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,530.3357635957863,2021-09-03,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,,2021-09-04,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,,2021-09-05,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,1033.8086357957789,2021-09-06,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,,2021-09-07,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,481.9763416500235,2021-09-08,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,,2021-09-09,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,569.918918918919,2021-09-10,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,,2021-09-11,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,557.0,2021-09-12,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,775.4399606299214,2021-09-13,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,454.1669484642222,2021-09-14,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,326.5833866993351,2021-09-15,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,,2021-09-16,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,454.93096657347337,2021-09-17,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,467.5931917670855,2021-09-18,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,451.5848615392213,2021-09-19,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,463.47267634965164,2021-09-20,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,583.0190796857464,2021-09-21,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,809.1614964658916,2021-09-22,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,,2021-09-23,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,578.4421742482651,2021-09-24,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,744.8744900407968,2021-09-25,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,543.1707550175216,2021-09-26,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,538.2480411437846,2021-09-27,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,429.91967586481724,2021-09-28,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,453.2592272984211,2021-09-29,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,379.7918160725585,2021-09-30,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,1144.9347760876763,2021-10-01,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,1072.5035213904894,2021-10-02,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,404.6734204594496,2021-10-03,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,303.58657215724014,2021-10-04,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
