country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Uttar Pradesh",Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","11-09-2026 05:00:00",25.44919916,81.82735986,NO2,5,5,5
India,"Uttar Pradesh",Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","11-09-2026 05:00:00",25.44919916,81.82735986,CO,16,32,24
India,"Uttar Pradesh",Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","11-09-2026 05:00:00",25.494,81.863,NO2,12,12,12
India,"Uttar Pradesh",Prayagraj,"Jhunsi, Prayagraj - UPPCB","11-09-2026 05:00:00",25.425602,81.917152,SO2,11,102,34
India,"Uttar Pradesh",Prayagraj,"Jhunsi, Prayagraj - UPPCB","11-09-2026 05:00:00",25.425602,81.917152,CO,21,33,29
India,"Uttar Pradesh",Raebareli," Indira Nagar, Raebareli - NTPC Unchahar","11-09-2026 05:00:00",26.207781,81.245571,PM10,64,99,83
India,"Uttar Pradesh",Raebareli,"Anand Nagar, Raebareli - UPPCB","11-09-2026 05:00:00",26.219512,81.237648,PM2.5,24,42,35
India,"Uttar Pradesh",Raebareli,"Anand Nagar, Raebareli - UPPCB","11-09-2026 05:00:00",26.219512,81.237648,CO,49,82,62
India,"Uttar Pradesh",Shamli,"New Tehsil, Shamli - UPPCB","11-09-2026 05:00:00",29.4603683,77.3410291,PM10,105,136,120
India,"Uttar Pradesh",Shamli,"New Tehsil, Shamli - UPPCB","11-09-2026 05:00:00",29.4603683,77.3410291,NO2,10,27,14
India,"West Bengal",Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","11-09-2026 05:00:00",23.508764,87.35444,NH3,4,7,5
India,"West Bengal",Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","11-09-2026 05:00:00",23.508764,87.35444,SO2,11,12,12
India,"West Bengal",Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","11-09-2026 05:00:00",23.508764,87.35444,OZONE,5,6,6
India,"West Bengal",Haldia,"Priyambada Housing Estate, Haldia - WBPCB","11-09-2026 05:00:00",22.06047,88.109737,CO,23,46,29
India,"West Bengal",Howrah,"Ghusuri, Howrah - WBPCB","11-09-2026 05:00:00",22.611968,88.347422,PM2.5,17,50,31
India,"West Bengal",Howrah,"Ghusuri, Howrah - WBPCB","11-09-2026 05:00:00",22.611968,88.347422,SO2,1,10,7
India,"West Bengal",Howrah,"Ghusuri, Howrah - WBPCB","11-09-2026 05:00:00",22.611968,88.347422,OZONE,18,24,20
India,"West Bengal",Howrah,"Dasnagar, Howrah - WBPCB","11-09-2026 05:00:00",22.6025571,88.3105664,PM2.5,22,102,52
India,"West Bengal",Howrah,"Dasnagar, Howrah - WBPCB","11-09-2026 05:00:00",22.6025571,88.3105664,NH3,1,2,1
India,"West Bengal",Howrah,"Belur Math, Howrah - WBPCB","11-09-2026 05:00:00",22.629801,88.352017,CO,7,22,13
India,"West Bengal",Howrah,"Belur Math, Howrah - WBPCB","11-09-2026 05:00:00",22.629801,88.352017,OZONE,8,9,9
India,"West Bengal",Howrah,"Padmapukur, Howrah - WBPCB","11-09-2026 05:00:00",22.5687319,88.2797276,NO2,15,53,30
India,"West Bengal",Howrah,"Padmapukur, Howrah - WBPCB","11-09-2026 05:00:00",22.5687319,88.2797276,OZONE,10,14,13
